Person_ID,Index_Name, IN_Foreign_Notation,Real_Name, RN_Foreign_Notation,Birth_Year,Death_Year,Birth_Place,Sex,ISNI,Responsibility
141,방종현,方鍾鉉,방종현,方鍾鉉,1905,1952,평안북도 정주,남,0000 0004 5625 0551,전세진
142,백기만,白基萬,백기만,白基萬,1902,1967,경상북도 대구,남,0000 0004 7342 2896,전세진
143,백대진,白大鎭,백대진,白大鎭,1892,1967,?,남,0000 0004 6442 2712,전세진
144,백석,白石,백기행,白夔行,1912,1996,평안북도 정주,남,0000 0001 1684 4329,전세진
145,백신애,白信愛,백신애,白信愛,1908,1939,경상북도 영천,여,0000 0000 8226 8270,전세진
146,백인준,白仁俊,백인준,白仁俊,?,?,경상북도 영천,?,0000 0004 7687 5751,전세진
147,백철,白鐵,백세철,白世哲,1908,1985,평안북도 의주,남,0000 0000 7938 5564,전세진
148,변영로,卞榮魯,변영로,卞榮魯,1898,1961,경기도 부천,남,0000 0000 2446 4847,전세진
149,서두수,徐斗銖,서두수,徐斗銖,?,?,?,?,?,전세진
150,서인식,徐斗銖,서인식,徐寅植,?,?,?,남,0000 0000 2493 7448,전세진
151,서정주,徐廷柱,서정주,徐廷柱,1915,2000,전라북도 고창,남,0000 0000 8403 163X,전세진
152,서항석,徐恒錫,서항석,徐恒錫,1900,1985,함경남도 홍원,남,0000 0004 7338 6450,전세진
153,석인해,石仁海,석인해,石仁海,1911,1990,평안북도 정주,남,0000 0004 6450 8874,전세진
154,설정식,薛貞植,설정식,薛貞植,1912,1953,함경남도 단천,남,0000 0004 5528 9454,전세진
155,손우성,孫宇聲,손우성,孫宇聲,1904,2006,충청북도 청원,남,0000 0004 6433 3760,전세진
156,손진태,孫晉泰,손진태,孫晉泰,1900,1950,부산,남,0000 0000 5007 0008,전세진
157,송강,宋江,송강,宋江,?,?,?,?,?,전세진
158,송계월,宋桂月,송계월,宋桂月,1911,1933,함경북도 북청,여,0000 0004 3379 3756,전세진
159,송석하,宋錫夏,송석하,宋錫夏,1904,1948,경상남도 언양,남,0000 0000 4419 0791,전세진
160,송순일,宋順謚 ,송순일,宋順謚 ,1902,?,황해도 안악,남,?,전세진
161,송영,宋影,송무현,宋武鉉,1903,1978,서울,남,0000 0000 2335 2296,전세진
162,송완순,宋完淳 ,송완순,宋完淳 ,1907,?,충청남도 대덕,?,?,전세진
163,신고송,申鼓頌,신말찬,申末贊,1907,?,경상남도 울산,남,0000 0004 6435 959X,전세진
164,신남철,申南澈,신남철,申南澈,1903,1958,서울,?,0000 0004 6436 0283,전세진
165,신명균,申明均,신명균,申明均,1889,1941,?,남,0000 0000 2175 8479,전세진
166,신백수,申百秀,신백수,申百秀,1915,1945,서울,남,?,전세진
167,신석정,辛夕汀,신석정,辛錫正,1907,1974,전라북도 부안,남,0000 0000 2517 8631,전세진
168,신석초,申石艸,신응식,申應植,1909,1975,충청남도 서천,남,0000 0000 2847 3855,전세진
169,신식,申湜,신식,申湜,?,?,?,?,?,전세진
170,신채호,申采浩,신채호,申采浩,1880,1936,충청남도 대덕,남,0000 0000 8143 4687,전세진
171,심훈,沈熏,심대섭,沈大燮,1901,1936,서울,남,0000 0000 8392 8357,전세진
172,안국선,安國善,안국선,安國善,1878,1926,경기도 안성,남,0000 0000 0032 0902,전세진
173,안동수,安東洙,안동수,安東洙,?,?,?,남,?,전세진
174,안막,安漠,안필승,安弼承,1910,1958,경기도 안성,남,0000 0004 6760 1038,전세진
175,안석주,安碩柱,안석주,安碩柱,1901,1950,서울,남,0000 0000 2851 9884,전세진
176,안수길,安壽吉,안수길,安壽吉,1911,1977,함경남도 함흥,남,0000 0000 8141 1063,전세진
177,안영일,安英一,안정호,安禎浩,1909,?,경기도,남,?,전세진
178,안종화,安鍾和,안용희,安龍熙,1902,1966,서울,남,0000 0004 2030 1417,전세진
179,안함광,安鐘彦,안종언,安鐘彦,1910,1982,황해도 신천,남,0000 0000 8330 0332,전세진
180,안확,安廓,안확,安廓,1886,1946,서울,남,0000 0000 6346 8402,전세진
181,안회남,安懷南,안필승,安必承,1910,?,서울,남,0000 0000 4135 8042,전세진
182,양건식,梁建植,양건식,梁建植,1889,1944,경기도 양주,남,0000 0004 5943 0291,전세진
183,양명,梁明,양명,梁明,1902,?,경상남도 통영,남,?,전세진
184,양상은,楊相殷,양상은,楊相殷,?,?,?,?,?,전세진
185,양우정,梁雨庭,양우정,梁又正,1907,1975,경상남도 함안,남,?,전세진
186,양운한,楊雲閒,양운한,楊雲閒,?,?,?,남,?,전세진
187,양주동,梁柱東,양주동,梁柱東,1903,1977,황해북도 개성,남,0000 0000 6352 9201,전세진
188,엄흥섭,嚴興燮,엄흥섭,嚴興燮,1906,1987,충청남도 논산,남,0000 0000 8330 2987,전세진
189,여상현,呂尙玄,여상현,呂尙鉉,1914,?,전라남도 화순,남,0000 0004 6441 2661,전세진
190,연성흠,延星欽,연성흠,延星欽,1902,1945,?,남,0000 0004 7369 658X,전세진
191,염상섭,廉想涉,염상섭,廉尙燮,1897,1963,서울,남,0000 0001 0909 1795,전세진
192,오상순,吳相淳,오상순,吳相淳,1894,1963,서울,남,0000 0000 6348 5018,전세진
193,오영진,吳泳鎭,오영진,吳泳鎭,1916,1974,평안남도 평양,남,0000 0000 0250 8845,전세진
194,오일도,吳一島,오희병,吳熙秉,1901,1946,경상북도 영양,남,0000 0000 2469 6947,전세진
195,오장환,吳章煥,오장환,吳章煥,1918,1951,충청북도 보은,남,0000 0001 1444 8007,전세진
196,오천석,吳天錫,오천석,吳天錫,1901,1987,평안남도 강서,남,0000 0000 2382 3158,전세진
197,오정민,吳禎民,오정민,吳禎民,?,?,?,?,?,전세진
198,유광열,柳光烈,유광열,柳光烈,1898,1963,경기도 파주,남,?,전세진
199,유길준,兪吉濬,유길준,兪吉濬,1856,1914,서울,남,0000 0000 8267 1035,전세진
200,유도순,劉道順,유도순,劉道順,1904,1938,평안북도,남,0000 0004 8389 5611,전세진
201,유엽,柳葉,유엽,柳葉,1902,1975,전라북도 전주,남,0000 0000 3278 0161,전세진
202,유완희,柳完熙,유완희,柳完熙,1901,1964,경기도 용인,남,0000 0004 7770 7637,전세진
203,유지영,柳志永,유지영,柳志永,1896,1947,?,남,0000 0004 7774 1456,전세진
204,유진오,兪鎭午,유진오,兪鎭午,1906,1987,서울,남,0000 0001 2128 2666,전세진
205,유진오,兪鎭五,유진오,兪鎭五,1922,1950,전라북도 완주,남,0000 0004 5932 7120,전세진
206,유치진,柳致眞,유치진,柳致眞,1905,1974,경상남도 충무,남,0000 0000 6651 0098,전세진
207,유치환,柳致環,유치환,柳致環,1908,1967,경상남도 충무,남,0000 0000 8082 5061,전세진
208,유항림,愈恒林,유항림,愈恒林,1914,1980,평안남도 평양,남,0000 0004 6444 986X,전세진
209,윤고종,尹鼓鐘,윤고종,尹鼓鐘,1912,1977,함경남도 함흥,?,0000 0000 5916 6508,전세진
210,윤곤강,尹崑崗,윤붕원,尹朋遠,1911,1950,충청남도 서산,남,0000 0000 5095 1307,전세진
211,윤규섭,尹圭涉,윤규섭,尹圭涉,1909,?,전라북도 남원,남,0000 0004 7937 8734,전세진
212,윤극영,尹克榮,윤극영,尹克榮,1903,1988,서울,남,0000 0004 5445 3427,전세진
213,윤기정,尹基鼎,윤기정,尹基鼎,1903,1955,서울,남,0000 0000 5012 781X,전세진
214,윤동주,尹東柱,윤동주,尹東柱,1917,1945,중국(만주),남,0000 0000 8138 4480,전세진
215,윤백남,尹白南,윤교중,尹敎重,1888,1954,충청남도 공주,남,0000 0000 2868 9592,전세진
216,윤복진,尹福鎭,윤복진,尹福鎭,1907,1991,경상북도 대구,남,0000 0004 7771 639X,전세진
217,윤석중,尹石重,윤석중,尹石重,1911,2003,서울,남,0000 0000 0528 332X,전세진
218,윤세중,尹世重,윤세중,尹世重,1912,1966,충청남도 논산,남,0000 0004 7690 1323,전세진
219,윤영춘,尹永春,윤영춘,尹永春,1912,1978,함경북도 회령,남,0000 0000 9162 090X,전세진
220,이갑기,李甲基,이갑기,李甲基,1908,?,경상북도 대구,남,0000 0005 1124 9669,전세진
221,이광래,李光來,이흥근,李興根,1908,1968,경상남도 마산,남,0000 0000 3508 9552,전세진
222,이광수,李光洙,이광수,李光洙,1892,1950,평안북도 정주,남,0000 0001 1059 4496,전세진
223,이규원,李揆元,이규원,李揆元,1911,?,경기도 궁촌,?,?,전세진
224,이극로,李克魯,이극로,李克魯,1893,1978,경상남도 의령,남,0000 0004 6435 9805,전세진
225,이근영,李根榮,이근영,李根榮,1910,?,전라북도 옥구,남,0000 0000 4723 143X,전세진
226,이기영,李箕永,이기영,李箕永,1895,1984,충청남도 아산,남,0000 0001 1177 7139,전세진
227,이동구,李東九,이동구,李東九,?,?,?,?,?,전세진
228,이동규,李東珪,이동규,李東珪,1911,1952,서울,남,0000 0000 2413 4901,전세진
229,이동원,李東圓,이동원,李東圓,?,?,?,남,?,전세진
230,이량,李亮,이량,李亮,?,?,?,남,?,전세진
231,이무영,李無影,이용구,李龍九,1908,1960,충청북도 음성,남,0000 0000 8138 2872,전세진
232,이병각,李秉珏,이인대,李仁大,1910,1941,경상북도 영양,남,0000 0000 3686 0089,전세진
233,이병기,李秉岐,이병기,李秉岐,1891,1968,전라북도 익산,남,0000 0000 2334 3162,전세진
234,이병도,李丙燾,이병도,李丙燾,1896,1989,경기도 용인,남,0000 0001 0957 8958,전세진
235,이병철,李秉哲,이병철,李秉哲,1921,1995,경상북도 영양,남,?,전세진
236,이봉구,李鳳九,이봉구,李鳳九,1916,1983,경기도 안성,남,0000 0000 5399 6009,전세진
237,이북만,李北満,이복만,李福萬,1908,?,충청남도 천안,남,?,전세진
238,이북명,李北鳴,이순익,李淳翼,1910,1988,함경남도 함흥,남,0000 0004 6439 1434,전세진
239,이상,李箱,김해경,金海卿,1910,1937,서울,남,0000 0003 5813 7117,전세진
240,이상협,李相協,이상협,李相協,1893,1957,서울,남,0000 0000 8271 8788,전세진
241,이상화,李相和,이상화,李相和,1901,1943,경상북도 대구,남,0000 0000 2250 7583,전세진
242,이서구,李瑞求,이서구,李瑞求,1899,1981,서울,남,0000 0004 6440 6501,전세진
243,이서향,李曙鄕,이서향,李曙鄕,1915,1969,경기도 인천,남,0000 0004 7625 3442,전세진
244,이석훈,李石薰,이석훈,李錫壎,1907,1950,평안북도 정주,남,0000 0000 8209 2981,전세진
245,이선근,李瑄根,이선근,李瑄根,1905,1983,경기도 개풍,남,0000 0000 2196 2058,전세진
246,이선희,李善熙,이선희,李善熙,1911,1949,함경남도 함흥,여,0000 0000 5128 2168,전세진
247,이숭녕,李崇寧,이숭녕,李崇寧,1908,1994,서울,남,0000 0000 8122 6490,전세진
248,이시우,李時雨,이시우,李時雨,?,?,?,?,?,전세진
